strategy,scenario,municipalities,capacity_margin
Small Cells,Scenario 1 (30 Mbps),Aalsmeer,34317.84764
Spectrum Integration,Scenario 1 (30 Mbps),Aalsmeer,-4204.509456
Hybrid,Scenario 2 (100 Mbps),Aalsmeer,18810.37211
Small Cells,Scenario 2 (100 Mbps),Aalsmeer,18061.24701
Spectrum Integration,Scenario 2 (100 Mbps),Aalsmeer,-20461.1101
Hybrid,Scenario 3 (300 Mbps),Aalsmeer,0
Small Cells,Scenario 3 (300 Mbps),Aalsmeer,0
Spectrum Integration,Scenario 3 (300 Mbps),Aalsmeer,-66908.5405
Hybrid,Scenario 1 (30 Mbps),Aalten,42955.18614
Small Cells,Scenario 1 (30 Mbps),Aalten,42575.94311
Spectrum Integration,Scenario 1 (30 Mbps),Aalten,-1090.944357
Hybrid,Scenario 2 (100 Mbps),Aalten,107554.2178
Small Cells,Scenario 2 (100 Mbps),Aalten,106684.2706
Spectrum Integration,Scenario 2 (100 Mbps),Aalten,-9653.263125
Hybrid,Scenario 3 (300 Mbps),Aalten,87708.92512
Small Cells,Scenario 3 (300 Mbps),Aalten,86966.48863
Spectrum Integration,Scenario 3 (300 Mbps),Aalten,-35610.07673
Hybrid,Scenario 1 (30 Mbps),Achtkarspelen,-3408.54615
Small Cells,Scenario 1 (30 Mbps),Achtkarspelen,-3986.88417
Spectrum Integration,Scenario 1 (30 Mbps),Achtkarspelen,-3408.54615
Hybrid,Scenario 2 (100 Mbps),Achtkarspelen,-16428.98463
Small Cells,Scenario 2 (100 Mbps),Achtkarspelen,-17007.32265
Spectrum Integration,Scenario 2 (100 Mbps),Achtkarspelen,-16428.98463
Hybrid,Scenario 3 (300 Mbps),Achtkarspelen,-53630.23743
Small Cells,Scenario 3 (300 Mbps),Achtkarspelen,-54208.57545
Spectrum Integration,Scenario 3 (300 Mbps),Achtkarspelen,-53630.23743
Hybrid,Scenario 1 (30 Mbps),Alblasserdam,11197.22403
Small Cells,Scenario 1 (30 Mbps),Alblasserdam,10752.11451
Spectrum Integration,Scenario 1 (30 Mbps),Alblasserdam,-1455.593949
Hybrid,Scenario 2 (100 Mbps),Alblasserdam,5241.016521
Small Cells,Scenario 2 (100 Mbps),Alblasserdam,5162.318538
Spectrum Integration,Scenario 2 (100 Mbps),Alblasserdam,-8667.964149
Hybrid,Scenario 3 (300 Mbps),Alblasserdam,2750.737706
Small Cells,Scenario 3 (300 Mbps),Alblasserdam,2724.410171
Spectrum Integration,Scenario 3 (300 Mbps),Alblasserdam,-29274.73615
Hybrid,Scenario 1 (30 Mbps),Albrandswaard,26969.33317
Small Cells,Scenario 1 (30 Mbps),Albrandswaard,26384.77736
Spectrum Integration,Scenario 1 (30 Mbps),Albrandswaard,-2156.021409
Hybrid,Scenario 2 (100 Mbps),Albrandswaard,19576.07248
Small Cells,Scenario 2 (100 Mbps),Albrandswaard,19326.03205
Spectrum Integration,Scenario 2 (100 Mbps),Albrandswaard,-12204.63649
Hybrid,Scenario 3 (300 Mbps),Albrandswaard,8204.833662
Small Cells,Scenario 3 (300 Mbps),Albrandswaard,8007.163683
Spectrum Integration,Scenario 3 (300 Mbps),Albrandswaard,-40914.96529
Hybrid,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",8420.336921
Small Cells,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",8240.455817
Spectrum Integration,Scenario 1 (30 Mbps),"Albrandswaard,Barendrecht",-1009.593456
Hybrid,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",4516.776282
Small Cells,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",4336.895178
Spectrum Integration,Scenario 2 (100 Mbps),"Albrandswaard,Barendrecht",-4913.154096
Hybrid,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",0
Small Cells,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",0
Spectrum Integration,Scenario 3 (300 Mbps),"Albrandswaard,Barendrecht",-16066.1845
Hybrid,Scenario 1 (30 Mbps),Alkmaar,-9705.25467
Small Cells,Scenario 1 (30 Mbps),Alkmaar,-11573.49525
Spectrum Integration,Scenario 1 (30 Mbps),Alkmaar,-9705.25467
Hybrid,Scenario 2 (100 Mbps),Alkmaar,-48664.81167
Small Cells,Scenario 2 (100 Mbps),Alkmaar,-50533.05225
Spectrum Integration,Scenario 2 (100 Mbps),Alkmaar,-48664.81167
Hybrid,Scenario 3 (300 Mbps),Alkmaar,-159977.8317
Small Cells,Scenario 3 (300 Mbps),Alkmaar,-161846.0723
Spectrum Integration,Scenario 3 (300 Mbps),Alkmaar,-159977.8317
Hybrid,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-834.45075
Small Cells,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-968.54121
Spectrum Integration,Scenario 1 (30 Mbps),"Alkmaar,Heiloo",-834.45075
Hybrid,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-3951.22707
Small Cells,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-4085.31753
Spectrum Integration,Scenario 2 (100 Mbps),"Alkmaar,Heiloo",-3951.22707
Hybrid,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12856.30227
Small Cells,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12990.39273
Spectrum Integration,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12856.30227
Hybrid,Scenario 1 (30 Mbps),Almelo,50408.42655
Small Cells,Scenario 1 (30 Mbps),Almelo,48697.79899
Spectrum Integration,Scenario 1 (30 Mbps),Almelo,-7006.719168
Hybrid,Scenario 2 (100 Mbps),Almelo,48606.69034
Small Cells,Scenario 2 (100 Mbps),Almelo,47656.33748
Spectrum Integration,Scenario 2 (100 Mbps),Almelo,-38963.37764
Hybrid,Scenario 3 (300 Mbps),Almelo,24437.20096
Small Cells,Scenario 3 (300 Mbps),Almelo,24172.21787
Spectrum Integration,Scenario 3 (300 Mbps),Almelo,-130768.2376
Hybrid,Scenario 1 (30 Mbps),Almere,64430.84315
Small Cells,Scenario 1 (30 Mbps),Almere,59657.40535
Spectrum Integration,Scenario 1 (30 Mbps),Almere,-15067.05092
Hybrid,Scenario 2 (100 Mbps),Almere,151176.6763
Small Cells,Scenario 2 (100 Mbps),Almere,149829.5604
Spectrum Integration,Scenario 2 (100 Mbps),Almere,-96352.43319
Hybrid,Scenario 3 (300 Mbps),Almere,126151.4373
Small Cells,Scenario 3 (300 Mbps),Almere,125045.6808
Spectrum Integration,Scenario 3 (300 Mbps),Almere,-331423.8988
Hybrid,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832
Small Cells,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832
Spectrum Integration,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832
Hybrid,Scenario 2 (100 Mbps),Alphen-Chaam,112492.6949
Small Cells,Scenario 2 (100 Mbps),Alphen-Chaam,111671.2758
Spectrum Integration,Scenario 2 (100 Mbps),Alphen-Chaam,-2337.596508
Hybrid,Scenario 3 (300 Mbps),Alphen-Chaam,101759.0837
Small Cells,Scenario 3 (300 Mbps),Alphen-Chaam,100937.6646
Spectrum Integration,Scenario 3 (300 Mbps),Alphen-Chaam,-13071.20771
Hybrid,Scenario 1 (30 Mbps),Alphen aan den Rijn,113269.4937
Small Cells,Scenario 1 (30 Mbps),Alphen aan den Rijn,110556.6932
Spectrum Integration,Scenario 1 (30 Mbps),Alphen aan den Rijn,-10274.5309
Hybrid,Scenario 2 (100 Mbps),Alphen aan den Rijn,106619.0145
Small Cells,Scenario 2 (100 Mbps),Alphen aan den Rijn,105153.2112
Spectrum Integration,Scenario 2 (100 Mbps),Alphen aan den Rijn,-58849.32506
Hybrid,Scenario 3 (300 Mbps),Alphen aan den Rijn,64267.35333
Small Cells,Scenario 3 (300 Mbps),Alphen aan den Rijn,63621.26139
Spectrum Integration,Scenario 3 (300 Mbps),Alphen aan den Rijn,-198346.8195
Hybrid,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",30737.58874
Small Cells,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",30432.47396
Spectrum Integration,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-1252.554816
Hybrid,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",25189.50635
Small Cells,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",24884.39156
Spectrum Integration,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-6800.637216
Hybrid,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",9337.842346
Small Cells,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",9032.727562
Spectrum Integration,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-22652.30122
Hybrid,Scenario 1 (30 Mbps),Ameland,-150.55392
Small Cells,Scenario 1 (30 Mbps),Ameland,-386.02656
Spectrum Integration,Scenario 1 (30 Mbps),Ameland,-150.55392
Hybrid,Scenario 2 (100 Mbps),Ameland,-2564.96256
Small Cells,Scenario 2 (100 Mbps),Ameland,-2800.4352
Spectrum Integration,Scenario 2 (100 Mbps),Ameland,-2564.96256
Hybrid,Scenario 3 (300 Mbps),Ameland,-9463.27296
Small Cells,Scenario 3 (300 Mbps),Ameland,-9698.7456
Spectrum Integration,Scenario 3 (300 Mbps),Ameland,-9463.27296
Hybrid,Scenario 1 (30 Mbps),Amersfoort,54523.66116
Small Cells,Scenario 1 (30 Mbps),Amersfoort,51052.23386
Spectrum Integration,Scenario 1 (30 Mbps),Amersfoort,-13276.34459
Hybrid,Scenario 2 (100 Mbps),Amersfoort,24120.61758
Small Cells,Scenario 2 (100 Mbps),Amersfoort,23462.28689
Spectrum Integration,Scenario 2 (100 Mbps),Amersfoort,-75698.0038
Hybrid,Scenario 3 (300 Mbps),Amersfoort,7939.384318
Small Cells,Scenario 3 (300 Mbps),Amersfoort,7873.067392
Spectrum Integration,Scenario 3 (300 Mbps),Amersfoort,-254194.4182
Hybrid,Scenario 1 (30 Mbps),Amstelveen,45135.04058
Small Cells,Scenario 1 (30 Mbps),Amstelveen,43099.1029
Spectrum Integration,Scenario 1 (30 Mbps),Amstelveen,-7505.456844
Hybrid,Scenario 2 (100 Mbps),Amstelveen,18537.45337
Small Cells,Scenario 2 (100 Mbps),Amstelveen,18002.36401
Spectrum Integration,Scenario 2 (100 Mbps),Amstelveen,-42480.96524
Hybrid,Scenario 3 (300 Mbps),Amstelveen,2717.730235
Small Cells,Scenario 3 (300 Mbps),Amstelveen,2628.928171
Spectrum Integration,Scenario 3 (300 Mbps),Amstelveen,-142410.9892
Hybrid,Scenario 1 (30 Mbps),Amsterdam,82049.69191
Small Cells,Scenario 1 (30 Mbps),Amsterdam,72184.46874
Spectrum Integration,Scenario 1 (30 Mbps),Amsterdam,-72171.44795
Hybrid,Scenario 2 (100 Mbps),Amsterdam,91897.13348
Small Cells,Scenario 2 (100 Mbps),Amsterdam,90952.75769
Spectrum Integration,Scenario 2 (100 Mbps),Amsterdam,-401448.7792
Hybrid,Scenario 3 (300 Mbps),Amsterdam,75525.97274
Small Cells,Scenario 3 (300 Mbps),Amsterdam,74916.31241
Spectrum Integration,Scenario 3 (300 Mbps),Amsterdam,-1343983.041
Hybrid,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",106.5865433
Small Cells,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",104.3095673
Spectrum Integration,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",-12.779664
Hybrid,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",57.17438332
Small Cells,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",54.89740732
Spectrum Integration,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",-62.191824
Hybrid,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",0
Small Cells,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",0
Spectrum Integration,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",-203.369424
Hybrid,Scenario 1 (30 Mbps),Apeldoorn,80706.24146
Small Cells,Scenario 1 (30 Mbps),Apeldoorn,77080.46633
Spectrum Integration,Scenario 1 (30 Mbps),Apeldoorn,-10847.63955
Hybrid,Scenario 2 (100 Mbps),Apeldoorn,358581.6885
Small Cells,Scenario 2 (100 Mbps),Apeldoorn,355624.1813
Spectrum Integration,Scenario 2 (100 Mbps),Apeldoorn,-79518.33551
Hybrid,Scenario 3 (300 Mbps),Apeldoorn,307314.7138
Small Cells,Scenario 3 (300 Mbps),Apeldoorn,304755.6774
Spectrum Integration,Scenario 3 (300 Mbps),Apeldoorn,-282370.7203
Hybrid,Scenario 1 (30 Mbps),Appingedam,-2089.01241
Small Cells,Scenario 1 (30 Mbps),Appingedam,-2408.27499
Spectrum Integration,Scenario 1 (30 Mbps),Appingedam,-2089.01241
Hybrid,Scenario 2 (100 Mbps),Appingedam,-9760.62447
Small Cells,Scenario 2 (100 Mbps),Appingedam,-10079.88705
Spectrum Integration,Scenario 2 (100 Mbps),Appingedam,-9760.62447
Hybrid,Scenario 3 (300 Mbps),Appingedam,-31679.51607
Small Cells,Scenario 3 (300 Mbps),Appingedam,-31998.77865
Spectrum Integration,Scenario 3 (300 Mbps),Appingedam,-31679.51607
Hybrid,Scenario 1 (30 Mbps),Arnhem,36144.52421
Small Cells,Scenario 1 (30 Mbps),Arnhem,32784.49732
Spectrum Integration,Scenario 1 (30 Mbps),Arnhem,-12437.52217
Hybrid,Scenario 2 (100 Mbps),Arnhem,94757.94168
Small Cells,Scenario 2 (100 Mbps),Arnhem,93870.77491
Spectrum Integration,Scenario 2 (100 Mbps),Arnhem,-76278.97544
Hybrid,Scenario 3 (300 Mbps),Arnhem,80286.01303
Small Cells,Scenario 3 (300 Mbps),Arnhem,79637.92874
Spectrum Integration,Scenario 3 (300 Mbps),Arnhem,-260534.797
Hybrid,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",4312.549589
Small Cells,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",3954.103529
Spectrum Integration,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",-1058.92974
Hybrid,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",0
Small Cells,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",0
Spectrum Integration,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",-6600.33414
Hybrid,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",4.09E-12
Small Cells,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",0
Spectrum Integration,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",-22432.91814
Hybrid,Scenario 1 (30 Mbps),Assen,-7245.85404
Small Cells,Scenario 1 (30 Mbps),Assen,-8629.9086
Spectrum Integration,Scenario 1 (30 Mbps),Assen,-7245.85404
Hybrid,Scenario 2 (100 Mbps),Assen,-36243.75948
Small Cells,Scenario 2 (100 Mbps),Assen,-37627.81404
Spectrum Integration,Scenario 2 (100 Mbps),Assen,-36243.75948
Hybrid,Scenario 3 (300 Mbps),Assen,-119094.9179
Small Cells,Scenario 3 (300 Mbps),Assen,-120478.9724
Spectrum Integration,Scenario 3 (300 Mbps),Assen,-119094.9179
Hybrid,Scenario 1 (30 Mbps),Asten,28848.60645
Small Cells,Scenario 1 (30 Mbps),Asten,28565.12294
Spectrum Integration,Scenario 1 (30 Mbps),Asten,-873.579168
Hybrid,Scenario 2 (100 Mbps),Asten,78012.92277
Small Cells,Scenario 2 (100 Mbps),Asten,77330.68383
Spectrum Integration,Scenario 2 (100 Mbps),Asten,-7453.281666
Hybrid,Scenario 3 (300 Mbps),Asten,58074.47157
Small Cells,Scenario 3 (300 Mbps),Asten,57392.23263
Spectrum Integration,Scenario 3 (300 Mbps),Asten,-27391.73287
Hybrid,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672
Small Cells,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672
Spectrum Integration,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672
Hybrid,Scenario 2 (100 Mbps),Baarle-Nassau,90859.48435
Small Cells,Scenario 2 (100 Mbps),Baarle-Nassau,90196.03047
Spectrum Integration,Scenario 2 (100 Mbps),Baarle-Nassau,-1888.058718
Hybrid,Scenario 3 (300 Mbps),Baarle-Nassau,82190.02915
Small Cells,Scenario 3 (300 Mbps),Baarle-Nassau,81526.57527
Spectrum Integration,Scenario 3 (300 Mbps),Baarle-Nassau,-10557.51392
Hybrid,Scenario 1 (30 Mbps),Baarn,13597.48808
Small Cells,Scenario 1 (30 Mbps),Baarn,13155.85738
Spectrum Integration,Scenario 1 (30 Mbps),Baarn,-1800.752664
Hybrid,Scenario 2 (100 Mbps),Baarn,29860.89751
Small Cells,Scenario 2 (100 Mbps),Baarn,29451.32645
Spectrum Integration,Scenario 2 (100 Mbps),Baarn,-10717.42073
Hybrid,Scenario 3 (300 Mbps),Baarn,21684.62803
Small Cells,Scenario 3 (300 Mbps),Baarn,21509.5855
Spectrum Integration,Scenario 3 (300 Mbps),Baarn,-36693.73673
Hybrid,Scenario 1 (30 Mbps),Barendrecht,23236.15904
Small Cells,Scenario 1 (30 Mbps),Barendrecht,22244.9348
Spectrum Integration,Scenario 1 (30 Mbps),Barendrecht,-3621.2376
Hybrid,Scenario 2 (100 Mbps),Barendrecht,10405.27361
Small Cells,Scenario 2 (100 Mbps),Barendrecht,10144.55985
Spectrum Integration,Scenario 2 (100 Mbps),Barendrecht,-20572.81392
Hybrid,Scenario 3 (300 Mbps),Barendrecht,2055.719024
Small Cells,Scenario 3 (300 Mbps),Barendrecht,1988.548232
Spectrum Integration,Scenario 3 (300 Mbps),Barendrecht,-69005.88912
Hybrid,Scenario 1 (30 Mbps),Barneveld,68021.201
Small Cells,Scenario 1 (30 Mbps),Barneveld,67093.40701
Spectrum Integration,Scenario 1 (30 Mbps),Barneveld,-3479.157168
Hybrid,Scenario 2 (100 Mbps),Barneveld,182038.5116
Small Cells,Scenario 2 (100 Mbps),Barneveld,180261.9011
Spectrum Integration,Scenario 2 (100 Mbps),Barneveld,-24627.1954
Hybrid,Scenario 3 (300 Mbps),Barneveld,134815.8394
Small Cells,Scenario 3 (300 Mbps),Barneveld,133330.6818
Spectrum Integration,Scenario 3 (300 Mbps),Barneveld,-87787.4122
Hybrid,Scenario 1 (30 Mbps),"Barneveld,Leusden",21.12624
Small Cells,Scenario 1 (30 Mbps),"Barneveld,Leusden",21.12624
Spectrum Integration,Scenario 1 (30 Mbps),"Barneveld,Leusden",21.12624
Hybrid,Scenario 2 (100 Mbps),"Barneveld,Leusden",3975.833292
Small Cells,Scenario 2 (100 Mbps),"Barneveld,Leusden",3946.801848
Spectrum Integration,Scenario 2 (100 Mbps),"Barneveld,Leusden",-82.617756
Hybrid,Scenario 3 (300 Mbps),"Barneveld,Leusden",3596.474892
Small Cells,Scenario 3 (300 Mbps),"Barneveld,Leusden",3567.443448
Spectrum Integration,Scenario 3 (300 Mbps),"Barneveld,Leusden",-461.976156
Hybrid,Scenario 1 (30 Mbps),Bedum,-1176.4974
Small Cells,Scenario 1 (30 Mbps),Bedum,-1481.52888
Spectrum Integration,Scenario 1 (30 Mbps),Bedum,-1176.4974
Hybrid,Scenario 2 (100 Mbps),Bedum,-6594.22062
Small Cells,Scenario 2 (100 Mbps),Bedum,-6899.2521
Spectrum Integration,Scenario 2 (100 Mbps),Bedum,-6594.22062
Hybrid,Scenario 3 (300 Mbps),Bedum,-22073.42982
Small Cells,Scenario 3 (300 Mbps),Bedum,-22378.4613
Spectrum Integration,Scenario 3 (300 Mbps),Bedum,-22073.42982
Hybrid,Scenario 1 (30 Mbps),Beek,19578.99002
Small Cells,Scenario 1 (30 Mbps),Beek,19238.58211
Spectrum Integration,Scenario 1 (30 Mbps),Beek,-1787.561088
Hybrid,Scenario 2 (100 Mbps),Beek,16499.14659
Small Cells,Scenario 2 (100 Mbps),Beek,16128.85337
Spectrum Integration,Scenario 2 (100 Mbps),Beek,-9045.221778
Hybrid,Scenario 3 (300 Mbps),Beek,5757.972589
Small Cells,Scenario 3 (300 Mbps),Beek,5660.916487
Spectrum Integration,Scenario 3 (300 Mbps),Beek,-29866.78178
Hybrid,Scenario 1 (30 Mbps),Beemster,-1024.77006
Small Cells,Scenario 1 (30 Mbps),Beemster,-1294.2585
Spectrum Integration,Scenario 1 (30 Mbps),Beemster,-1024.77006
Hybrid,Scenario 2 (100 Mbps),Beemster,-5777.04906
Small Cells,Scenario 2 (100 Mbps),Beemster,-6046.5375
Spectrum Integration,Scenario 2 (100 Mbps),Beemster,-5777.04906
Hybrid,Scenario 3 (300 Mbps),Beemster,-19354.98906
Small Cells,Scenario 3 (300 Mbps),Beemster,-19624.4775
Spectrum Integration,Scenario 3 (300 Mbps),Beemster,-19354.98906
Hybrid,Scenario 1 (30 Mbps),Beesel,16821.69906
Small Cells,Scenario 1 (30 Mbps),Beesel,16464.21383
Spectrum Integration,Scenario 1 (30 Mbps),Beesel,-1918.795488
Hybrid,Scenario 2 (100 Mbps),Beesel,25464.39272
Small Cells,Scenario 2 (100 Mbps),Beesel,24986.51238
Spectrum Integration,Scenario 2 (100 Mbps),Beesel,-10106.73706
Hybrid,Scenario 3 (300 Mbps),Beesel,14914.79294
Small Cells,Scenario 3 (300 Mbps),Beesel,14794.39783
Spectrum Integration,Scenario 3 (300 Mbps),Beesel,-33844.84186
Hybrid,Scenario 1 (30 Mbps),Bellingwedde,-199.55496
Small Cells,Scenario 1 (30 Mbps),Bellingwedde,-511.66728
Spectrum Integration,Scenario 1 (30 Mbps),Bellingwedde,-199.55496
Hybrid,Scenario 2 (100 Mbps),Bellingwedde,-3399.78528
Small Cells,Scenario 2 (100 Mbps),Bellingwedde,-3711.8976
Spectrum Integration,Scenario 2 (100 Mbps),Bellingwedde,-3399.78528
Hybrid,Scenario 3 (300 Mbps),Bellingwedde,-12543.30048
Small Cells,Scenario 3 (300 Mbps),Bellingwedde,-12855.4128
Spectrum Integration,Scenario 3 (300 Mbps),Bellingwedde,-12543.30048
Hybrid,Scenario 1 (30 Mbps),Berg en Dal,78137.46659
Small Cells,Scenario 1 (30 Mbps),Berg en Dal,77471.16649
Spectrum Integration,Scenario 1 (30 Mbps),Berg en Dal,-2434.723338
Hybrid,Scenario 2 (100 Mbps),Berg en Dal,96243.38407
Small Cells,Scenario 2 (100 Mbps),Berg en Dal,95357.64041
Spectrum Integration,Scenario 2 (100 Mbps),Berg en Dal,-15005.92114
Hybrid,Scenario 3 (300 Mbps),Berg en Dal,62554.80385
Small Cells,Scenario 3 (300 Mbps),Berg en Dal,61746.47737
Spectrum Integration,Scenario 3 (300 Mbps),Berg en Dal,-51550.61074
Hybrid,Scenario 1 (30 Mbps),Bergeijk,12087.72731
Small Cells,Scenario 1 (30 Mbps),Bergeijk,12017.99492
Spectrum Integration,Scenario 1 (30 Mbps),Bergeijk,389.83899
Hybrid,Scenario 2 (100 Mbps),Bergeijk,123242.1134
Small Cells,Scenario 2 (100 Mbps),Bergeijk,122348.4004
Spectrum Integration,Scenario 2 (100 Mbps),Bergeijk,-3644.16492
Hybrid,Scenario 3 (300 Mbps),Bergeijk,109362.1574
Small Cells,Scenario 3 (300 Mbps),Bergeijk,108468.4444
Spectrum Integration,Scenario 3 (300 Mbps),Bergeijk,-17524.12092
Hybrid,Scenario 1 (30 Mbps),Bergen (L.),29817.1735
Small Cells,Scenario 1 (30 Mbps),Bergen (L.),29639.28475
Spectrum Integration,Scenario 1 (30 Mbps),Bergen (L.),-24.37833
Hybrid,Scenario 2 (100 Mbps),Bergen (L.),122648.6822
Small Cells,Scenario 2 (100 Mbps),Bergen (L.),121768.9156
Spectrum Integration,Scenario 2 (100 Mbps),Bergen (L.),-5311.891998
Hybrid,Scenario 3 (300 Mbps),Bergen (L.),105536.135
